x,y,z,time
1.0,1.0,1.0,0.0
1.0125017307654962,1.2600047261929894,0.9848906641746467,0.01
1.0487474842527391,1.5240967075682188,0.9731175133902338,0.02
1.1072189224585738,1.7982995614431163,0.9651706810879358,0.03
1.1868850188223223,2.0885262443344654,0.9617602553912217,0.04
1.2873738146067268,2.400410562820716,0.9638783084145061,0.05
1.4092757421494975,2.7389386824083686,0.9726841095289867,0.06
1.5535123641549458,3.109386517560619,0.9897657322730741,0.07
1.721238215417928,3.5174694415848347,1.0171966792084755,0.08
1.9138408028238478,3.969342286632557,1.0575358819201948,0.09
2.133162041207915,4.471211587057763,1.114279477471927,0.1
2.38193646766213,5.0293566125967635,1.1911052924359884,0.11
2.6632477812839603,5.650577102228884,1.2925168191720358,0.12
2.980433809839014,6.341893942838958,1.424869366670575,0.13
3.3370865385184514,7.110549028628652,1.5963703408341063,0.14
3.737052109938978,7.964005261116467,1.817079244477124,0.15
4.18441384129872,8.90986826212094,2.0989237469198203,0.16
4.681328314650118,9.944933646878223,2.458515627238875,0.17
5.233929409024492,11.079944064006899,2.9135924957426456,0.18
5.84974574196768,12.330208215332572,3.4836286071090026,0.19
6.534307404392351,13.700661919025013,4.1925117329270165,0.2
7.291145960578011,15.185868109598172,5.068543161696962,0.21
8.121794448171013,16.77001683791019,6.144437698830324,0.22
9.025787378184535,18.42692527116338,7.457323666649788,0.23
10.000660734998597,20.120037692904226,9.04874290438924,0.24
11.041951976360068,21.80242550302341,10.964650768193781,0.25
12.143101893551192,23.41696714879685,13.254798564336063,0.26
13.288038122775792,24.89100971745278,15.935387534336726,0.27
14.451613806795972,26.1015991037317,19.007311104503394,0.28
15.60230588702712,26.92165792458575,22.446177594997188,0.29
16.700022731001294,27.234791171302646,26.183010500019194,0.3
17.69610413236719,26.93528620950565,30.104248487810313,0.31
18.53437626976945,25.92474637236135,34.053877956553244,0.32
19.16446794547113,24.13194098626487,37.84415128217022,0.33
19.5306737132615,21.664408369844583,41.23474874863378,0.34
19.593583655417238,18.66536190010114,44.032605402431756,0.35000000000000003
19.33652854707148,15.27950477617184,46.11130623686615,0.36
18.765579856213783,11.653030019330572,47.41108619205314,0.37
